지점,지역,주소,전화번호
우정선경점,울산,"울산광역시 중구 유곡로 10, 상가동 108호(우정동, 선경2차아파트)",053-944-6460
영진전문대점,대구,"대구광역시 북구 복현로 33-2, 1층(복현동)",042-534-1122
버드내점,대전,"대전광역시 중구 태평로 15, 상가동 114호",053-472-8870
봉덕점,대구,"대구광역시 남구 효성로 55, 1층(봉덕동)",054-274-8600
포항 세명기독병원점,경북,"경상북도 포항시 남구 상공로 126, 1층(대도동)",
성서아울렛점,대구,대구광역시 달서구 성서공단로15길 14,054-761-1537
안강점,경북,경상북도 경주시 안강읍 안강중앙로 213,053-525-4426
본리점,대구,대구광역시 달서구 당산로 35,054-777-1179
경주동국대점,경북,"경상북도 경주시 석장길 48-12, 마동1층101,102(석장동)",
영동점,충북,충청북도 영동군 영동읍 중앙로 32,054-777-0026
경주 황성점,경북,경상북도 경주시 황성로 15(황성동),
경주 중앙점,경북,경상북도 경주시 화랑로 110(동부동),054-371-1213
청도점,경북,경상북도 청도군 청도읍 청화로 191-1,
영덕점,경북,경상북도 영덕군 영덕읍 남석길 77,051-516-3137
장전점,부산,"부산광역시 금정구 금정로 151,1층(장전동)",
각산점,대구,"대구광역시 동구 이노밸리로 162,101호(각산동, 혁신빌딩)",
성주점,경북,경상북도 성주군 성주읍 성주로 3232-1,
고양 화정점,경기,"경기도 고양시 덕양구 화신로 267, 1층 107호(화정동, 이프라자)",054-278-1533
포항 효자점,경북,"경상북도 포항시 남구 효성로 48, 1층 101호(효자동)",064-722-2517
일도점,제주,"제주특별자치도 제주시 고마로 123,1층 103호(일도이동)",053-313-1399
매천점,대구,"대구광역시 북구 학정로 42, 1층 102호(태전동)",041-558-2863
천안 불당점,충남,"충청남도 천안시 서북구 불당 33길26, 1층 105호",
선산점,경북,경상북도 구미시 선산읍 남문로 43-2,054-261-0560
포항 흥해점,경북,경상북도 포항시 북구 흥해읍 흥해로 45-8,
세천점,대구,대구광역시 달성군 다사읍 세천로 160(북죽곡엠코타운 더솔레뉴),070-7768-1393
장기점,대구,"대구광역시 달서구 장기로 248, 1층(장기동)",055-355-7556
밀양점,경남,경상남도 밀양시 석정로 60-1(내일동),010-7187-3035
안양 연성대점,경기,경기도 안양시 만안구 양화로 37번길 24,053-352-1393
팔달점,대구,대구광역시 서구 팔달로 170-2(비산동),
경인교대점,인천,인천광역시 계양구 계산로 68-1(계산동),053-614-2688
테크노폴리스2호점,대구,대구광역시 달성군 현풍면 테크노상업로 52,
포항 밸류점,경북,경상북도 포항시 남구 중흥로 77(그랜드에비뉴 6층 푸드코트 내 위치),054-331-8253
영천 2호점,경북,경상북도 영천시 언하공단로 83(망정동),
제주대점,제주,제주특별자치도 제주시 제주대학로 105-1(아라이동),
포항 장량점,경북,경상북도 포항시 북구 장량로 177(양덕동),
유곡점,울산,울산광역시 중구 종가4길5(유곡동),
천상점,울산,울산광역시 울주군 범서읍 천상중앙길 100-1,
서재점,대구,대구광역시 달성군 다사읍 서재로 135,054-633-8887
영주점,경북,경상북도 영주시 번영로 149(하망동),053-744-0987
범어역점,대구,대구광역시 수성구 달구벌대로 480길16(범어동),
경산 경일대점,경북,경상북도 경산시 하양읍 가마실길 46,
함양점,경남,경상남도 함양군 함양읍 함양로 1138-1,
금호사수점,대구,대구광역시 북구 한강로 20(사수동),
경산 백천점,경북,경상북도 경산시 경청로 221길9(백천동),055-932-9994
합천점,경남,경상남도 합천읍 충효로 74-1,
경산 진량점,경북,경상북도 경산시 진량읍 공단1로 5,
경산 옥산점,경북,경상북도 경산시 성암로 26(옥산동),053-742-2022
동대구역점,대구,대구광역시 동구 동부로 30길 3-2,
고령점,경북,경상북도 고령군 대가야읍 중앙로 7,052-234-1317
울산 일산점,울산,울산광역시 동구 방어진순환도로 613,053-959-9930
대구 동구청점,대구,대구광역시 동구 아양로 37길7(동서시장),
대구 논공점,대구,대구광역시 달성군 논공읍 논공로 758,053-626-1212
대구 방촌점,대구,대구광역시 동구 동촌로 238,
포항 구룡포점,경북,경상북도 포항시 남구 구룡포읍 호미로 225,
대구 화원점,대구,대구광역시 달성군 화원읍 비슬로 2578,031-278-6092
수원 성균관대점,경기,경기도 수원시 장안구 율전동 433-126,031-272-6134
용인 보정점,경기,경기도 용인시 기흥구 보정동 1207-1,
문경점,경북,경상북도 문경시 중앙로 122-2(점촌동),
제천 세명대점,충북,충청북도 제천시 세명로54(모산동),042-822-0966
충남대점,대전,대전광역시 유성구 궁동 409-8,
포항 양덕점,경북,경상북도 포항시 북구 양덕동 669-3,053-956-9922
봉무점,대구,대구광역시 동구 팔공로 51길 15-5,
상주점,경북,경상북도 상주시 남성동 11-31,052-246-3050
구영점,울산,울산광역시 울주군 범서읍 구영리 853-2,055-337-6200
김해 코아점,경남,경상남도 김해시 능동로 155번길 10-8(부곡동),053-611-3345
테크노폴리스점,대구,대구광역시 달성군 유가면 테크노상업로 112,054-333-3366
영천 문외점,경북,경상북도 영천시 충효로 62(문외동),031-761-9988
광주점,경기,경기도 광주시 중앙로 102(경안동),
거창점,경남,경상남도 거창군 거창읍 중앙로 124-3,054-437-7384
김천 신음점,경북,경상북도 김천시 시청로69,010-7456-5220
옥포점,대구,대구광역시 달성군 옥포면 돌미로 36,
매곡점,울산,울산광역시 북구 매곡1로46(매곡동),055-642-0360
통영 항남점,경남,경상남도 통영시 중앙로 120-1(항남동),052-233-7020
전하점,울산,울산광역시 동구 진성14길77,
시흥점,경기,경기도 시흥시 중심상가로 187(정왕동),
신서혁신점,대구,대구광역시 동구 이노밸리로 322(신시동),042-477-0703
둔산점,대전,대전광역시 서구 둔산로 8(둔산동),010-4780-5336
경산 대구한의대점,경북,경상북도 경산시 들뫼길 31길35(유극동),055-275-0703
창원 대방점,경남,경상남도 창원시 성산구 창이대로 881번길11,
경산 신대부적점,경북,경상북도 경산시 압량면 압독3로 30,
범어점,대구,대구광역시 수성구 달구벌대로 2522(범어동),
김천혁신점,경북,경상북도 김천시 혁신3로6(율곡동),031-905-5535
일산점,경기,경기도 고양시 일산동구 일산로 202(마두동),055-266-3504
창원 상남점,경남,경상남도 창원시 성산구 마디미로 3번길 6(상남동),
청주점,충북,충청북도 청주시 상당구 사직대로 362번길 10-2(서문동),053-423-1040
김광석골목점,대구,대구광역시 중구 달구벌대로 450길 12(대봉동),010-3130-6076
김천역점,경북,경상북도 김천시 김천로 103(평화동),
